Здравствуйте! ,Bonjour! ,[Бонжур!] 
Сколько с меня? ,Combien vous dois-je? (Combien je vous dois?) [Комбьен ву дуаж? (Комбьен жё, ву дуа?)] 
Сдачи не надо. ,Gardez la monnaie. ,[Гардэ ля монэ.] 
Вы не могли бы дать мне квитанцию (чек)? ,Ne pourriez-vous pas me donner un reçu? ,[Нё пурье ву па мё донэ эн рёсю?] 
"Мне нужен чек, пожалуйста. ","Je voudrais un reçu, s’il vous plaît. ","[Жё вудрэ эн рёсю, силь ву пле.] "
Мне нужно такси до Триумфальной арки. ,Je veux un taxi pour l’Arc de Triomphe. ,[Жё вё эн такси пур лярк дё трэомф.] 
"Подождите меня, пожалуйста, несколько",,
минут. ,"Attendez-moi, s’il vous plaît, quelques minutes. [Аттэндэ","муа, силь ву пле, келькё минют.] "
Куда вы хотите ехать? ,Où voulez-vous aller? ,[У вуле ву але?] 
"Отвезите меня, пожалуйста, ... ","Déposer-moi, s’il vous plaît... ","[Дэпозэ муа, силь ву пле...] "
- по этому адресу ,- à cette adresse ,[- а сэт адрэс] 
- в гостиницу ,- à l’hôtel ,[- а лётэль] 
- на вокзал ,- à la gare ,[- а ля гар] 
- в аэропорт ,- à l’aéroport ,[- а ляэропор] 
Вы можете отвезти меня на вокзал/в центр,Pourriez-vous me conduire à la gare/au centre-,
города? ,ville? ,[Пурье ву мё кондюир а ля гар/о сант виль?] 
Заказывать такси (кому-либо) ,Commander un taxi ,[Командэ эн такси] 
Здравствуйте. Вы можете заказать для меня,Bonjour. Pouver-vous me commander un taxi,[Бонжур. Пувэ ву мё командэ эн такси пур
такси на завтра? ,pour demain? ,дёмэн?] 
"Вы знаете, какова оплата? ",Savez-vous le prix? ,[Савэ ву лё при?] 
Вы можете помочь мне с сумками? ,Pouvez-vous m’aider avec le bagage? ,[Пувэ ву мэдэ авэк лё багяж?] 
Какова оплата (тариф)? ,Quel est le tarif? ,[Кель э лё тариф?] 
Я тороплюсь. ,Je me dépêche. ,[Жё мё дэпэш.] 
Я очень спешу. ,Je suis très pressé(e). ,[Жё сюи трэ прэсэ.] 
Вы можете ехать быстрее? ,Pourriez-vous conduire plus vite? ,[Пурье ву кондюир плю вит?] 
Пробка в уличном движении ,Embouteillage ,[Амбутейаж] 
Застрять в пробке ,Etre coincé dans un embouteillage ,[Этр куансэ дан зон амбутейаж] 
,На ж/д вокзале. Путешествие на поезде ,
Поезд ,Le train ,[Лё трэн] 
Вокзал ,La gare ,[Ля гар] 
Билетная касса ,Le guichet ,[Лё гишэ] 
Билет ,Le billet ,[Лё бийе] 
Расписание ,Les horaires ,[Ле зорэр] 
Багажная тележка ,Le chariot à bagage ,[Лё шарьё а багяж] 
Стоп-кран ,Le frein d’alarme ,[Лё фрэн далярм] 
Платформа ,Le quai ,[Лё ке] 
,,Французский разговорник 8 
Вагон ,La voiture ,[Ля вуатюр] 
Билет в одну сторону ,Un aller-simple ,[Эн але-сэмпль] 
Билет туда и обратно ,Un aller-retour ,[Эн але-рётур] 
Камера хранения ,La consigne ,[Ля консинь] 
Зал ожидания ,Salle d’attente ,[Саль датант] 
Заказ билетов ,Bureau de réservation ,[Бюро дё рэзэрвасьён] 
Туалет ,Toilettes/WC ,[Туалэт/Вэсэ] 
Не курить ,Défense de fumer ,[Дэфанс дё фюмэ] 
Бюро находок ,Bureau des objets trouvés ,[Бюро дэ зобжэ трувэ] 
Задержка (опоздание) ,Retard ,[Рётар] 
Когда отправляется ближайший поезд в ...? ,Quand est-ce que part le train proche pour...? ,[Кан эскё пар лё трэн прош пур...?] 
Где можно купить билеты? ,Où peut-on acheter des billets? ,[У пё тон аштэ дэ бийе?] 
Где здесь автомат по продаже,,
железнодорожных билетов? ,Où est-ce que se trouve le distributeur de billets? [У эскё сё трув лё дистрибютёр дё бийе?],
Можете ли вы помочь мне купить билет? ,Pouvez-vous m'aider à acheter un billet? ,[Пувэ ву мэдэ а аштэ эн бийе?] 
Сколько стоит билет до...? ,Combien coûte un billet pour... ? ,[Комибьен кут эн бийе пур...?] 
Мне нужно два билета... ,Je voudrais deux billets... ,[Жё вудрэ дё бийе...] 
- второго класса ,- de deuxième classe ,- дё дезьем кляс] 
"Два билета до Бордо, пожалуйста. ","Deux billets pour Bordeaux, s’il vous plait. ","[Дё бийе пур Бордо, силь ву пле.] "
Сколько стоит билет до Лилля? ,C’est combien un billet pour Lille? ,[Сэ комбьен эн бийе пур Лилль?] 
Вы принимаете кредитные карты? ,Vous acceptez les cartes de crédit? ,[Ву заксэптэ ле карт дё креди?] 
Мне нужно делать пересадку? ,Je dois changer? ,[Жё дуа шанжэ?] 
Компостировать (билет) ,Composter ,[Компостэ] 
Не забудьте прокомпостировать ваш билет! ,N’oubliez-pas de composter votre billet! ,[Нублийе па дё компостэ вотр бийе!] 
Есть скидки для…? ,Est-ce qu’il y a des réductions pour... ? ,[Эс килья дэ рэдюксьон пур...?] 
- детей/студентов/пенсионеров ,- les enfants/les étudiants/les retraités ,[- ле занфан/ле зэтюдьян/ле рётрэтэ] 
Мы должны платить за детей? ,Est-ce qu’on doit payer pou les enfants? ,[Эс кон дуа пэйе пур ле занфан?] 
Где висит расписание поездов? ,Où se trouve l’horaire des trains ? ,[У сё трув лёрэр дэ трэн?] 
Где камера хранения? ,Où est la consigne? ,[У э ля консинь?] 
,De quelle voie part le train pour... ? (Le train part,[Дё кель вуа пар лё трэн пур...? (Лё трэн пар
С какого пути отправляется поезд до...? ,de quel quai?) ,дё кель ке?)] 
Сколько времени продлится поездка? ,Combien de temps dure le trajet ? ,[Комбьен дё тан дюр лё тражэ?] 
Во сколько отправляется поезд на Париж? ,A quelle heure part le train pour Paris? ,[А кель ёр пар лё трэн пур Пари?] 
"Это поезд, идущий в...? ",Est-ce le train qui va à...? ,[Эс лё трэн ки ва а...?] 
Этот поезд останавливается в...? ,Ce train s’arrête-t-il à...? ,[Сё трэн сарэт тиль а...?] 
Где я должен сделать пересадку? ,Où est-ce que je dois changer de train? ,[У эскё жё дуа шанжэ дё трэн?] 
Посадка уже объявлена? ,L’embarquement est déjà annoncé? ,[Лямбаркман э дэжа анонсэ?] 
Я уже могу сесть в поезд? ,Puis-je déjà monter dans le train? ,[Пюиж дэжа монтэ дан лё трэн?] 
Когда мы приезжаем в...? ,Quand arrive-t-on à... ? ,[Кан арив тон а...?] 
Какая это станция? ,Quelle est cette station? ,[Кель э сэт стасьон?] 
Контролер ,Le contrôleur ,[Лё контролёр] 
Купе ,Le compartiment ,[Лё компартиман] 
Место занято ,La place est occupée ,[Ля пляс э токюпэ] 
Какая это платформа? ,Quel est le numéro de ce quai? ,[Кель э лё нюмеро дё сё ке?] 
Это место свободно? ,Est-ce que cette place est libre? ,[Эскё сэт пляс э либр?] 
Вы позволите мне поднять/опустить окно? ,Vous me permettez de relever/baisser la vitre? [Ву мё пэрмэтэ дё рёлёвэ/бэсэ ля витр?],
Сколько минут длится остановка? ,Combien de minutes dure l’ arrêt? ,[Комбьен дё минют дюр лярэ?] 
"Знаете ли вы, в котором часу мы прибываем Savez-vous à quelle heure nous arrivons à... ? ",,[Савэ ву а кель ёр ну заривон а...?] 
,,Французский разговорник 9 
в...? ,,
Где выход в город? ,Où est la sortie en ville? ,[У э ля сорти ан виль?] 
,"Pouvez-vous m’aider à porter mes bagages, s’il",
"Помогите мне вынести багаж, пожалуйста. ",vous plaît? ,"[Пувэ ву мэдэ а портэ ме багяж, силь ву пле?] "
Я отстал от поезда. ,J’ai manqué mon train. ,[Жэ манкэ мон трэн.] 
"Все мои вещи, деньги и документы остались","Toutes mes affaires, mon argent et mes papiers","[Тут мэ зафэр, мон аржан э мэ папье сон рэстэ"
там. ,sont restés là. ,ля.] 
На автовокзале. Поездка на междугородном автобусе ,,
Автовокзал ,La gare routière ,[Ля гар рутьер] 
Автотрасса ,L’autoroute ,[Лёторут] 
Водитель ,Le chauffeur ,[Лё шофёр] 
Автобус (междугородний) ,L’autocar/le car ,[Лётокар/лё кар] 
Багаж ,Le bagage ,[Лё багяж] 
Багажный отсек ,Le compartiment à bagages ,[Лё компартиман а багяж] 
Где находится автовокзал? ,Où est la gare routière? ,[У э ля гар рутьер?] 
Где касса? ,Où sont les guichets? ,[У сон ле гишэ?] 
Мне нужен один билет на ближайший автобус,,
,Je voudrais un billet à l’autocar prochain pour... [Жё вудрэ эн бийе а лётокар прощэн пур...],
до... ,,
Сколько с меня? ,Combien ça coûte? ,[Комбьен са кут?] 
Когда следуюйщий автобус в...? ,Quand part le prochain autocar à... ? ,[Кан пар лё прошэн отокар а...?] 
Сколько времени займет поездка? ,Combien de temps ça prendra? ,[Комбьен дё тан са прандра?] 
Я могу оплатить проезд в автобусе? ,Je peux payer dans l’autocar? ,[Жё пё пэйе дан лётокар?] 
От какой стойки отправляется автобус? ,De quel endroit part l’autocar? ,[Дё кель андруа пар лётокар?] 
"Пожалуйста, помогите мне положить вещи в Aidez-moi, s’il vous plaît, à mettre mes valises",,"[Эдэ муа, силь ву пле, а мэтр мэ вализ дан зэн"
багажный отсек. ,dans un compartiment à bagages. ,компартиман а багяж.] 
Где место...? ,Où est la place...? ,[У э ля пляс...?] 
,"На теплоходе, катере ",
Где можно купить билеты на...? ,Où peut-on acheter des billets pour... ? ,[У пё тон аштэ дэ бийе пур...?] 
- теплоход ,- le bateau ,[- лё бато] 
- катер ,- le bateau de plaisance ,[- лё бато дё плэзанс] 
- паром ,- le ferry ,[- лё фэри] 
Когда отплывает теплоход до...? ,A quelle heure part le bateau pour...? ,[А кель ёр пар лё бато пур...?] 
Во сколько отплывает первый паром до...? ,A quelle heure part le premier ferry pour... ? ,[А кель ёр пар лё прёмье фэри пур...?] 
,A quelle heure part le dernier bateau de,
Во сколько отплывает последний катер? ,,[А кель ёр пар лё дэрнье бато дё плэзанс?] 
,plaisance ? ,
Сколько стоит...? ,Combien coûte...? ,[Комбьен кут...?] 
- один билет ,- un billet ,[- эн бийе] 
- каюта ,- une cabine ,[- юн кабин] 
- провоз легкового автомобиля ,- le transport d’un véhicule ,[- лё транспор дэн вэикюль] 
Мне нужна... ,Je voudrais... ,[Жё вудрэ...] 
- одноместная каюта ,- une cabine pour une personne ,[- юн кабин пур юн пэрсон] 
- двухместная каюта ,- une cabine pour deux personnes ,[- юн кабин пур дё пэрсон] 
Можно купить билет на палубе (на борту)? ,Peut-on acheter un billet au bord? ,[Пё тон аштэ эн бийе о бор?] 
Сколько времени длится плавание? ,Combien dure le voyage? ,[Комбьен дюр лё вуаяж?] 
Где мы будем причаливать в пути? ,Où allons-nous faire des escales? ,[У алён ну фэр дэ зэскаль?] 
Когда мы прибываем в...? ,Quand arrivons-nous à... ? ,[Кан аривон ну а...?] 
С какого причала отправляется мой теплоход? D’où part mon bateau?,,[Ду пар мон бато?] 
Когда начнется посадка? ,Quand commence l’embarquement? ,[Кан команс лямбаркёман?] 
Спасательный круг ,Le bouée de sauvetage ,[Ля буэ дё совтаж] 
Спасательная шлюпка ,Le canot de sauvetage ,[Лё кано дё совтаж] 
,,Французский разговорник 10 
Спасательный жилет ,Le gilet de sauvetage ,[Лё жиле дё совтаж] 
Как пройти...? ,Comment passer...? ,[Коман пасэ...?.] 
- на верхнюю/нижнюю палубу? ,- au pont supérieur/ au faux-pont ,[- о пон сюпэрьёр/о фопон] 
- к лифту ,- à l’ascenseur ,[- а лясансёр] 
- в бар ,- au bar ,[- о бар] 
- в солярий ,- au solarium ,[- о солярьём] 
- к бассейну ,- à la piscine ,[- а ля писин] 
Я ищу каюту номер... ,Je cherche la cabine numéro... ,[Жё шэрш ля кабин нюмэро...] 
У вас есть средство от морской болезни? ,Avez-vous quelque chose contre le mal de mer? [Авэ ву келькё шоз контр лё маль дё мэр?],
Мне плохо. ,Je me porte mal. ,[Жё мё порт маль.] 
Словарик туриста. Передвижение по городу. Как найти дорогу. Достопримечательности ,,
План города ,Le plan de la ville ,[Лё плян дё ля виль] 
Где можно найти карту Парижа? ,Où peut-on trouver le plan de Paris? ,[У пётон трувэ лё плян дё пари? 
"Простите, вы не могли бы мне помочь? ","Pardon, ne pourriez-vous pas m’aider? ","[Пардон, нё пурье ву па мэдэ? "
Я ищу... ,Je cherche... ,[Жё шэрш...] 
- площадь ,- la place ,[- ля пляс] 
- остановку автобуса ,- l’arrêt d’autobus ,[- лярэ дотобюс] 
"Знаете ли вы, где я могу найти...? ",Savez-vous où je peux trouver ...? ,[Савэ ву у жё пё трувэ...?] 
,"Vous pourriez nous prendre en photo, s’il vous",
Вы не могли бы нас сфотографировать? ,,"[Ву пурье ну прандр эн фото, силь ву пле?] "
,plaît? ,
"Извините. Подскажите, как добраться до",Excusez-moi. Pourriez-vous m’indiquer le chemin,[Экскюзэ муа. Пурье ву мэндике лё шмэн вэр
вокзала? ,vers la gare? ,ля гар?] 
Извините. Где здесь ближайший,Excusez-moi. Où est le supermarché le plus,[Экскюзэ муа. У э лё сюпэрмаршэ лё плю прош
супермаркет? ,proche dans le coin? ,дан лё куан?] 
"Мсье, я ищу музей/вы знаете, где находится","Monsieur, s’il vous plaît, je cherche le musée ","[Мёсьё, силь ву пле, жё шэрш лё мюзэ/ву савэ"
музей...? ,/vous savez ou est le musée... ,у э лё мюзэ...] 
Как называется эта улица? ,C'est quelle rue? ,[Сэ кель рю?] 
"Покажите мне, пожалуйста, на карте... ","Montrez-moi, s’il vous plaît, sur le plan... ","[Монтрэ муа, силь ву пле, сюр лё плян...] "
Поверните налево/направо ,Tournez à gauche/droite (prenez sur la gauche) [Турнэ а гош/друат],
Слева/справа ,Sur la gauche/ droite ,[Сюр ля гош/друат] 
Прямо ,Tout droit ,[Ту друа] 
Первый поворот налево ,la première à gauche ,[Ля прёмьер а гош] 
Второй поворот направо ,la deuxième à droite ,[Ля дёзьем а друат] 
Светофор ,les feux ,[Ле фё] 
"Поверните налево у светофора, затем прямо. Tournez à gauche aux feux et puis tout droit. ",,[Турнэ а гош о фё э пби ту друа.] 
Перейдите дорогу. ,Traversez la rue. ,[Травэрсэ ля рю] 
Я иностранец. ,Je suis l’étranger. ,[Жё сюи летранжэ] 
Я заблудился(лась). ,Je me suis perdu(e). (Je me suis égaré(e)). ,[Жё мё сюи пэрдю. (Жё мё сюи эгарэ).] 
Как мне добраться...? ,"Pour aller..., s’il vous plaît? ","[Пур але..., силь ву пле?] "
- в центр города ,- au centre de la ville ,[- о сантр дё ля виль] 
- до площади ,- à la place ,[- а ля пляс] 
- до гостиницы ,- à l’hôtel ,[- а лётэль] 
Как добраться до музея? ,Pour aller au musée? ,[Пур але о мюзэ?] 
Сколько времени это займет? ,Combien de temps ça prendra? ,[Комбьен дё тан са прандра?] 
Это далеко (отсюда)? ,C’est loin (d’ici)? ,[Сэ луан (диси)?] 
"Нет, 5 минут пешком. ","Non, c’est cinq minutes à pied. ","[Нон, сэ сэнк минют а пье.] "
Где находится...? ,Où se trouve... ? ,[У сё трув...?] 
- музей ,- le musée ,[- лё мюзэ] 
,,Французский разговорник 11 
- улица... ,- la rue... ,[- ля рю...] 
- оперный театр ,- l’opéra ,[- лёпэра] 
На чем я могу туда доехать? ,Par quel transport je peux y aller? ,Пар кель транспор жё пё зи але? 
,Est-ce qu'il y a une station de métro pas loin,
Есть ли здесь поблизости станция метро? ,,[Эс килья юн стасьён дё мэтро па луэн диси?] 
,d'ici? ,
Это в каком направлении? ,C'est dans quelle direction? ,[Сэ дан кель дирэксьён?] 
Я смогу дойти пешком? ,Je peux y aller à pied? ,[Жё пё зи але а пье?] 
,Est-ce que je suis dans la bonne direction pour,
Я правильно иду? ,,[Эскё жё сюи дан ля бон дирэксьон пур але...] 
,aller...? ,
- в центр ,- au centre ,[- о сантр] 
- на вокзал ,- à la gare ,[- а ля гар] 
Бесплатный вход ,Entrée gratuite ,[Антрэ гратюит] 
Открыто ,Ouvert ,[Увэр] 
Закрыто ,Fermé ,[Фэрмэ] 
Входа нет ,Entrée interdite ,[Антрэ антердит] 
Не фотографировать со вспышкой ,Ne pas photographier au flash ,[Нё па фотографье о фляш] 
Часы работы ,Heures d’ouverture ,[Ёр дувертюр] 
Следующая экскурсия в... ,La prochaine visite est à... ,[Ля прошэн визит э та...] 
В каком часу вы открываетесь/закрываетесь? Vous ouvrez/fermez à quelle heure? ,,[Ву зуврэ/фэрмэ а кель ёр?] 
"Извините, музей закрыт. ",Désolé. Le musée est fermé. ,[Дэзоле. Лё мюзэ э фэрмэ.] 
Где находится туалет? ,Où sont les toilettes? ,[У сон ле туалетт?] 
Здесь можно фотографировать (со,,
,On peut photographier (au flash)? ,[Он пё фотографье (о фляш)? 
вспышкой)? ,,
Я хотел(а) бы посетить... ,Je voudrais visiter... ,[Жё вудрэ визитэ...] 
Мы хотели бы посетить... ,Nous voudrions visiter... ,[Ну вудрьён визитэ...] 
Сколько стоит входной билет? ,Combien coûte un billet d' entrée? ,[Комбьен кун эн бийе дантрэ?] 
Это полный тариф или со скидкой? ,C'est plein tarif ou tarif réduit? ,[Сэ плен тариф у тариф рэдюи?] 
Мне нужно четыре билета (в музей). ,Je voudrais quatre entrées. ,[Жё вудрэ катр энтрэ.] 
Есть скидка для…? ,Est-ce qu’il y a des réductions pour... ? ,[Эс килья дэ рэдюксьон пур...?] 
- детей/студентов/пенсионеров ,- les enfants/les étudiants/les retraités ,[- ле занфан/ле зэтюдьян/ле рётрэтэ] 
У вас есть аудиогид на русском языке? ,Vous avez un guide audio en russe? ,[Ву завэ эн гид одьо ан рюс?] 
Я хочу купить путеводитель по музею. ,Je voudrais acheter un guide du musée. ,[Жё вудрэ аштэ эн гид дю мюзэ.] 
Я хочу купить каталог выставки. ,Je voudrais acheter un catalogue de l’exposition. [Жё вудрэ аштэ эн каталёг дё лекспозисьон.],
,В гостинице (отеле) ,
Мы забронировали номер в вашем отеле. ,Nous avons fait une reservation dans cet hôtel. [Ну завон фэ юн рэзэрвасьён дан сэтотель.],
Я забронировал двухместный номер в вашем,,
,J’ai réservé une chambre double dans votre hôtel., [Жэ рэзэрвэ юн шамбр дубль дан вотротель.] 
отеле. ,,
Могу я посмотреть ваши документы (ваш,"Puis-je voir vos papiers (votre passeport), s’il vous[Пюиж вуар во папье (вотр паспор), силь ву",
паспорт)? ,plaît? ,пле?] 
"Ваш паспорт, пожалуйста. ","Votre passeport, s’il vous plaît. ","[Вотр паспор, силь ву пле.] "
Вот мой паспорт. ,Voici mon passeport. ,[Вуаси мон паспор.] 
"Пожалуйста, заполните регистрационные",Je voudrais vous demander de remplir les fiches,[Жё вудрэ ву дёмандэ дё рамплир ле фиш
бланки. ,d’hôtel. ,дотель.] 
Вот ваш ключ. ,Voici votre clé. ,[Вуаси вотр кле.] 
Я хотел бы забронировать... ,Je voudrais réserver... ,[Жё вудрэ рэзэрвэ...] 
,- une chambre individuelle (une chambre pour,[- юн шамбр эндивидюэль (юн шамбр пур юн
- одноместный номер ,,
,une personne) ,пэрсон)] 
- двухместный номер ,- une chambre pour deux personnes ,[- юн шамбр пур дё пэрсон] 
- двухместный номер с 2 кроватями ,- une chambre à lits jumeaux ,[- юн шамбр а ли жюмо ] 
- номер с душем ,- une chambre avec douche ,[- юн шамбр авэк душ] 
- номер с окнами во двор ,- une chambre avec vue sur la cour ,[- юн шамбр авэк вю сюр ля кур] 
,,Французский разговорник 12 
- номер с балконом ,- une chambre avec balcon ,- юн шамбр авэк балькон] 
- номер с кондиционером ,- une chambre avec climatisation ,[- юн шамбр авэк климатизасьон] 
Мне нужен номер на... ,Je voudrais une chambre... ,[Жё вудрэ юн шамбр...] 
- три ночи ,- pour trois nuits ,[- пур труа нюи] 
- неделю ,- pour une semaine ,[- пур юн смэн] 
Администратор (портье) ,Le/la réceptionniste ,[Лё/ля рэсэпсьонист] 
Обслуживание в номере ,Le service en chambre ,[Лё сервис ан шамбр] 
Столовая ,La salle à manger ,[Ля саль а манжэ] 
Горничная ,La femme de chambre ,[Ля фам дё шамбр] 
Швейцар ,Le portier ,[Лё портье] 
Носильщик ,Le porteur ,[Лё портёр] 
Завтрак включен? ,Le petit petit déjeuner est compris? ,[Лё пти дэжёнэ э компри?] 
У вас есть бесплатный Wi-Fi? ,Vous avez un Wi-Fi gratuit? ,[Ву завэ эн вифи гратюи?] 
В номере есть доступ к Интернету? ,Y a-t-il l'acces à Internet dans la chambre? ,[Я тиль лаксэ а энтэрнэт дан ля шамбр?] 
Сколько стоит (номер) в сутки? ,C’est combien par nuit? ,[Сэ комбьен пар нюи?] 
Оплата вперед или при отъезде? ,Je paye par avance ou le jour du départ? ,[Жё пэ пар аванс у лё жур дю дэпар?] 
,"Malheureusement, il n’y a pas de chambres",
"К сожалению, свободных мест нет. ",,"[Малёрёзман, иль нья па дё шамбр либр.] "
,libres. ,
Номер освободится в... ,La chambre sera libre à... ,[Лё шамбр сёра либр а...] 
На сколько дней вы у нас остановитесь? ,On est venu pour combien de nuit? ,[Он э веню пур комбьен дё нюи?] 
На чье имя вы забронировали? ,Vous avez réservé à quel nom? ,[Ву завэ рэзэрвэ а кель ном?] 
Я забронировал номер на имя... ,J’ai réservé une chambre au nom de... ,[Жэ рэзэрвэ юн шамбр о ном дё...] 
Ваша комната №... ,Votre chambre est le numéro... ,[Вот шамбр э лё нюмеро...] 
Вот ваш ключ. ,Voici votre clé. ,[Вуаси вотр кле.] 
На каком этаже мой номер? ,A quel étage se trouve ma chambre? ,[А кель этаж сё трув ма шамбр?] 
,Ayez la bonté de porter mes valises dans la,[Эйе ля бонтэ дё портэ мэ вализ дан ля
"Будьте добры, отнесите мои вещи в номер. ",,
,chambre. ,шамбр.] 
Вы можете помочь мне с багажом? ,Pourriez-vous m’aider avec le bagage? ,Пурье ву мэдэ авэк лё багяж?] 
Эту сумку я отнесу сам. ,Je porterai ce sac moi-même. ,[Жё портёрэ сё сак муа мэм.] 
Могу я посмотреть номер? ,Je peux regarder la chambre? ,[Жё пё рёгардэ ля шамбр?] 
У вас есть другой номер? ,Avez-vous une autre chambre? ,[Авэ ву юн отр шамбр?] 
Здесь слишком... ,Ici c’est trop... ,[Иси сэ тро...] 
- темно ,- sombre ,[- сомбр] 
- тесно ,- serré ,[- сэрэ] 
У вас есть что-нибудь...? ,Avez-vous quelque chose... ? ,[Авэ ву келькё шоз...?] 
- получше ,- de mieux ,[- дё мьё] 
- побольше ,- de plus grand ,[- дё плю гран] 
- подешевле ,- de moins cher ,[- дё муан шер] 
Другого у нас нет. ,Nous n’en avons pas d’autre. ,"[Парфэ, сэт шамбр мё ва.] "
Тогда мы берем номер. ,Alors nous prenons la chambre. ,[Ну нэн авон па дотр.] 
"Прекрасно, этот номер мне подходит. ","Parfait, cette chambre me va. ",[Алёр ну прёнон ля шамбр.] 
Где лифт? ,Où est l’ascenseur? ,[У э лясансёр?] 
, A quelle heure est le petit déjeuner? (Quand,[А кель ёр э лё пти дэжёнэ? (Кан сэрвэ ву лё
Когда завтрак? ,,
,servez-vous le petit déjeuner?) ,пти дэжёнэ?)] 
"Дайте, пожалуйста, ключи от номера... ",Je voudrais les clés de la chambre... ,[Жу вудрэ ле кле дё ля шамбр...] 
"Можно мне ключ, пожалуйста? ","Puis-je avoir ma clé, s’il vous plaît? ","[Пюиж авуар ма кле, силь ву пле?] "
Оставьте ключ у администратора. ,Laisser les clés à la réception. ,[Лэсэ ле кле а ля рэсэпсьён.] 
Оставить залог в ... евро. ,Laisser une caution de ... euros. ,[Лэсэ юн косьён дё... ёро.] 
,,Французский разговорник 13 
В отеле есть...? ,Est-ce qu’il y a dans l’hôtel... ? ,[Эс килья дан лётэль...?] 
- врач ,- un médecin ,[- эн мэдсэн] 
- пункт обмена валюты ,- un bureau de change ,[- эн бюро дё шанж] 
- ресторан ,- un restaurant ,[- эн рэсторан] 
- Интернет ,- l’Internet ,[- лэнтэрнэт] 
- камера хранения ,- une consigne des bagages ,[- юн консинь дэ багяж] 
- бассейн ,- une piscine ,[- юн писин] 
В номере есть...? ,Est-ce qu’il y a dans la chambre... ? ,[Эс килья дан ля шамбр...?] 
- телефон ,- le téléphone ,[- лё тэлэфон] 
- телевизор ,- le téléviseur ,[- лё тэлевизёр] 
- сейф ,- le coffre ,[- лё кофр] 
- холодильник ,- le réfrigérateur ,[- лё рэфрижэратёр] 
- мини-бар ,- le mini bar ,[- лё минибар] 
- кондиционер ,- la climatisation ,[- ля климатизасьон] 
- чайник ,- la bouilloire ,[- ля буйуар] 
Куда выбрасывать мусор (отходы)? ,Où faut-il mettre les déchets? ,[У фо тиль мэтр ле дэше?] 
Есть ли здесь мусорная корзина,,
,Y a-t-il une poubelle? ,[Я тиль юн пубэль?] 
(ведро/контейнер)? ,,
,Peut-on apporter le petit déjeuner dans la,
Можно принести завтрак в номер? ,,[Пё тон апортэ лё пти дэжёнэ дан ля шамбр?] 
,chambre? ,
Кто там? ,Qui est là? ,[Ки э ля?] 
Входите! ,Entrez! ,[Антрэ!] 
"Подождите минуточку, пожалуйста! ","Attendez un moment, s’il vous plaît! ","[Атандэ эн моман, силь ву пле!] "
Я скоро вернусь. ,Je reviens bientôt. ,[Жё рёвьен бьенто.] 
Я буду через час. ,Je reviens dans une heure. ,[Жё рёвьен дан зюн ёр.] 
Я хочу заказать ужин в номер. ,Je voudrais commander le dîner dans la chambre. , [Жё вудрэ командэ лё динэ дан ля шамбр.] 
Я уезжаю завтра. ,Je pars demain. ,[Жё пар дёмэн.] 
Я хотел(а) бы оплатить номер сейчас. ,Je voudrais payer la chambre maintenant. ,[Жё вудрэ пэйе ля шамбр мэнтёнан.] 
Во сколько я должен освободить номер? ,A quelle heure faut-il quitter la chambre? ,[А кель ёр фо тиль китэ ля шамбр?] 
Мне нужно заплатить сейчас? ,Dois-je payer maintenant? ,[Дуаж пэйе мэнтёнан?] 
"Подготовьте, пожалуйста, счет (Можно мне",,
,"Je peux avoir la note, s’il vous plaît? ","[Жё пё авуар ля нот, силь ву пле?] "
счет?) ,,
Я пробыл здесь... ,J’ai été ici... ,[Жэ этэ иси...] 
- три дня ,- trois nuits ,[- труа нюи] 
- неделю ,- une semaine ,[- юн смэн] 
Я могу оплатить...? ,Je peux payer...? ,[Жё пё пэйе...?] 
- кредитной картой ,- par carte de crédit ,[- пар карт дё крэди] 
- наличными ,- cash/comptant/en liquide ,[- кэш/контан/ан ликид] 
Выписываться из отеля (=платить по счёту) ,Régler (demander) la note ,[Рэглэ (дёмандэ) ля нот] 
Я бы хотел(а) выписаться. ,Je voudrais demander ma note. ,[Жё вудрэ дёмандэ ма нот.] 
Могу я получить квитанцию? ,Je voudrais un reçu. (Puis-je avoir un reçu?) ,[Жё вудрэ эн рёсю. (Пьюж авуар эн рёсю?)] 
Я могу оставить здесь свой багаж до... часов? Je peux laisser ici mes bagages jusqu’ à... heures? [Жё пё лэсэ иси мэ багаж жюска... ёр?],,
"Закажите мне, пожалуйста, такси. ","Appelez-moi un taxi, s’il vous plaît. ","[Апле муа эн такси, силь ву пле.] "
В отеле/апартаментах (Удобства и обстановка в номере и на кухне) ,,
- ванная комната ,- la salle de bains ,[- ля саль дё бэн] 
- душевая кабина ,- la douche ,[- ля душ] 
- ванна ,- la baignoire ,[- ля бэньюар] 
- унитаз ,- la cuvette ,[- ля кювет] 
,,Французский разговорник 14 
- раковина ,- le lavabo ,[- лё лявабо] 
- мыло ,- le savon ,[- лё савон] 
- шампунь ,- le shampooing ,[- лё шампуэн] 
- туалетная бумага ,- le papier hygiénique/le papier de toilette ,[- лё папье ижьеник/ лё папье дё туалэт] 
- пена для бритья ,- le gel rasage ,[- лё жель разаж] 
- гель для душа ,- le gel douche ,[- лё жель душ] 
- банный халат ,- le peignoir ,[- лё пэньюар] 
- полотенца ,- les serviette (de bain) ,[- лэ сэрвьет дё бэн] 
- тапки ,- les pantoufles ,[- ле пантуфль] 
